,city,lat,lng,max temp(f),humidity(%),cloudiness(%),wind speed(mph),country,date
212,casa grande,32.88,-111.76,87.8,15,1,12.75,US,1604366406
213,xuanzhou,30.95,118.76,55.69,47,0,8.37,CN,1604366184
214,sept-iles,50.2,-66.38,28.4,68,100,21.92,CA,1604366406
215,mut,36.64,33.44,50.54,61,0,2.53,TR,1604366185
216,souillac,-20.52,57.52,71.6,73,75,10.29,MU,1604366406
217,pangnirtung,66.15,-65.71,15.84,81,100,11.34,CA,1604366407
218,jining,35.41,116.58,55.0,1,100,6.06,CN,1604366407
219,queanbeyan,-35.35,149.23,73.0,63,0,3.36,AU,1604366133
220,saint george,37.1,-113.58,69.01,29,1,1.21,US,1604366279
221,coos bay,43.37,-124.22,51.01,100,90,5.82,US,1604366408
222,yumen,40.28,97.2,37.49,64,77,9.4,CN,1604366186
223,tari,12.41,4.49,78.28,31,90,8.61,NG,1604366408
224,bambanglipuro,-7.95,110.28,82.18,71,18,3.87,ID,1604366408
225,atambua,-9.11,124.89,88.12,40,35,3.4,ID,1604366408
226,fairbanks,64.84,-147.72,-9.4,76,90,2.33,US,1604366132
227,aleksandrovka,46.84,32.76,46.17,81,40,3.4,UA,1604366409
228,middelburg,-25.78,29.46,59.54,66,0,3.38,ZA,1604366409
229,vitim,59.45,112.56,14.0,94,100,8.59,RU,1604366409
230,barcelos,41.54,-8.62,52.0,87,0,8.05,PT,1604366162
231,san patricio,28.02,-97.52,66.0,67,20,5.82,US,1604366410
232,katsuura,35.13,140.3,64.0,93,75,4.7,JP,1604366410
233,bathsheba,13.22,-59.52,82.4,74,40,20.8,BB,1604366189
234,roma,43.21,-75.46,35.01,80,90,5.82,US,1604366411
235,springfield,37.22,-93.3,53.01,49,1,8.05,US,1604366411
236,newnan,33.38,-84.8,51.8,32,1,4.7,US,1604366257
237,saint-francois,46.42,3.91,53.01,93,90,2.24,FR,1604366411
238,petropavlovsk-kamchatskiy,53.05,158.65,44.6,75,75,15.66,RU,1604366412
239,flagstaff,35.2,-111.65,57.2,30,20,3.36,US,1604366355
240,havelock,34.88,-76.9,44.01,61,1,5.82,US,1604366191
241,zheleznodorozhnyy,55.75,38.0,43.0,93,90,4.47,RU,1604366191
242,vermilion,40.17,-87.75,43.0,45,1,9.17,US,1604366192
243,cherskiy,68.75,161.3,-3.84,90,100,10.71,RU,1604366192
244,miri,4.41,114.01,80.6,83,20,4.7,MY,1604366192
245,basugaon,26.47,90.4,72.9,85,8,2.26,IN,1604366413
246,norman wells,65.28,-126.83,8.6,92,90,2.24,CA,1604366171
247,haines junction,60.75,-137.51,5.0,60,100,8.05,CA,1604366414
248,kandalaksha,67.16,32.41,41.59,92,100,11.97,RU,1604366193
249,abashiri,44.02,144.27,46.4,81,20,2.24,JP,1604366415
250,honjo,36.23,139.18,62.01,82,18,5.01,JP,1604366415
251,kavaratti,10.57,72.64,82.04,69,0,4.61,IN,1604366194
252,chalmette,29.94,-89.96,62.01,51,1,6.93,US,1604366415
253,touros,-5.2,-35.46,78.8,83,20,9.17,BR,1604366416
254,bowen,-20.02,148.23,80.6,61,75,21.92,AU,1604366416
255,prince rupert,54.32,-130.32,53.6,81,90,19.46,CA,1604366143
256,hobyo,5.35,48.53,79.81,81,94,11.18,SO,1604366195
257,teya,60.38,92.63,24.12,96,100,5.5,RU,1604366416
258,lompoc,34.64,-120.46,63.0,82,1,8.05,US,1604366417
259,funadhoo,6.15,73.27,82.4,69,0,4.47,MV,1604366417
260,nautla,20.22,-96.78,70.63,75,93,13.94,MX,1604366417
261,avarua,-21.21,-159.78,73.4,83,100,13.87,CK,1604366196
262,aberdeen,57.14,-2.1,41.0,80,100,5.82,GB,1604366418
263,wageningen,51.97,5.67,51.01,81,0,12.75,NL,1604366197
264,ambilobe,-13.2,49.05,68.07,76,0,4.92,MG,1604366418
265,saskylakh,71.92,114.08,9.3,95,100,8.7,RU,1604366418
266,kruisfontein,-34.0,24.73,57.0,95,2,5.55,ZA,1604366419
267,kaitangata,-46.28,169.85,61.0,63,0,5.01,NZ,1604366419
268,vila velha,-20.33,-40.29,69.8,68,20,8.05,BR,1604366419
269,skibbereen,51.55,-9.27,39.2,86,20,11.41,IE,1604366420
270,ust-tsilma,65.44,52.15,30.09,89,15,7.83,RU,1604366420
271,luwuk,-0.95,122.79,84.33,51,100,2.57,ID,1604366403
272,bonavista,48.65,-53.11,57.0,87,100,10.29,CA,1604366420
273,geraldton,-28.77,114.6,64.4,88,40,6.93,AU,1604366360
